Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main_Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2024-01-01,10.2,67,0,1,0,None,18.2,11.8,55.8,24.4,18.7,24.7
2024-01-02,12.9,42,0,1,0,None,14.7,9.1,39.1,19.5,14.1,19.7
2024-01-03,15.2,48,1,0,0,None,32.2,5.9,54.1,20.2,23.6,15.6
2024-01-04,24.1,59,0,0,0,None,14.1,9.1,36.9,18.6,14.3,11.4
2024-01-05,21.3,43,0,1,0,None,13.8,9.6,37.0,19.6,14.4,12.0
2024-01-06,15.2,69,1,0,1,Weekend,15.9,3.4,33.4,14.1,13.2,8.5
2024-01-07,19.4,41,1,0,1,Weekend,17.4,3.3,30.9,14.3,13.5,8.3
2024-01-08,21.1,56,1,0,0,None,30.5,12.5,55.0,19.4,25.6,16.1
2024-01-09,21.2,59,0,1,0,None,14.6,10.0,39.9,19.2,14.2,12.2
2024-01-10,16.2,59,0,0,0,None,19.2,12.2,52.8,23.7,17.9,15.8
2024-01-11,16.0,47,1,0,0,None,23.8,4.9,36.5,15.2,19.5,12.1
2024-01-12,13.4,43,0,1,0,None,13.5,9.6,39.4,19.2,14.1,19.4
2024-01-13,11.6,47,0,0,1,Weekend,10.5,7.0,32.0,17.0,17.4,12.8
2024-01-14,24.8,49,0,0,1,Weekend,10.3,6.5,32.4,17.9,17.1,8.4
2024-01-15,17.1,44,0,1,0,None,18.2,12.2,56.9,24.9,19.2,15.6
2024-01-16,12.1,45,0,1,0,None,13.7,9.4,38.8,18.0,14.3,19.5
2024-01-17,14.6,62,1,0,0,None,31.0,5.9,52.7,20.4,25.3,24.6
2024-01-18,23.7,44,1,0,0,None,24.6,9.7,37.6,15.8,19.5,11.6
2024-01-19,19.0,50,0,1,0,None,14.7,9.8,36.2,19.7,14.3,12.4
2024-01-20,24.8,53,0,0,1,Weekend,10.0,7.0,33.5,17.7,16.7,8.2
2024-01-21,13.2,46,0,1,1,Weekend,9.5,6.5,33.4,16.7,16.3,13.0
2024-01-22,22.8,62,0,0,0,None,18.6,11.7,53.1,24.0,17.8,15.4
