Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main_Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2022-01-01,22.6,58,1,0,1,Weekend,16.1,6.9,33.1,13.3,13.5,8.2
2022-01-02,18.7,45,0,1,1,Weekend,9.6,6.3,30.6,17.1,16.5,8.6
2022-01-03,13.4,53,0,1,0,None,18.4,12.3,55.2,24.0,19.4,24.0
2022-01-04,16.4,64,0,0,0,None,14.2,9.3,39.1,18.8,14.7,11.6
2022-01-05,12.1,61,0,1,0,None,17.7,12.8,54.3,25.8,18.1,23.6
2022-01-06,22.4,43,0,0,0,None,13.7,9.2,38.0,19.5,14.2,11.4
2022-01-07,15.6,60,0,0,0,None,13.6,9.4,36.0,18.1,14.3,12.0
2022-01-08,13.1,60,1,0,1,Weekend,15.9,3.5,31.8,14.3,13.6,13.0
2022-01-09,21.4,70,0,0,1,Weekend,10.1,6.9,30.9,16.4,16.3,8.6
2022-01-10,22.7,56,0,0,0,None,19.3,11.8,55.4,24.1,18.4,16.1
2022-01-11,20.4,45,0,0,0,None,13.7,9.9,36.2,19.3,14.3,11.3
2022-01-12,15.2,47,0,1,0,None,18.5,11.7,56.5,25.0,18.8,16.2
2022-01-13,19.9,60,0,1,0,None,14.3,9.7,37.4,19.7,14.9,12.4
2022-01-14,21.6,58,1,0,0,None,24.7,9.9,39.9,14.7,18.1,12.5
2022-01-15,16.9,59,0,1,1,Weekend,10.0,6.3,32.6,18.0,17.4,8.2
2022-01-16,20.2,69,0,0,1,Weekend,10.0,7.0,32.8,17.5,16.7,7.9
2022-01-17,13.8,63,0,1,0,None,18.1,12.6,52.7,25.3,18.8,23.7
2022-01-18,22.7,46,0,0,0,None,14.7,9.1,37.3,19.9,13.6,12.3
2022-01-19,10.1,52,1,0,0,None,31.8,6.0,52.0,19.1,25.7,24.8
