Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2021-01-01,1.9,76,0,0,1,New Year's Day,9.5,7.0,30.4,12.8,9.7,13.2
2021-01-02,1.7,88,0,1,1,Weekend,10.2,7.0,31.6,17.1,17.4,13.7
2021-01-03,1.3,84,0,0,1,Weekend,10.3,6.5,33.5,16.5,16.2,12.8
2021-01-04,5.0,94,1,0,0,None,31.6,5.9,53.8,19.6,25.7,24.8
2021-01-05,0.9,74,1,0,0,None,23.9,4.9,36.9,15.1,19.5,18.8
2021-01-06,0.4,80,0,0,0,None,18.8,12.6,51.5,24.2,18.0,24.8
2021-01-07,3.9,73,1,0,0,None,23.2,4.5,37.0,14.6,18.4,18.8
2021-01-08,1.0,75,1,0,0,None,23.1,4.5,37.1,15.8,19.0,18.5
2021-01-09,2.7,70,0,0,1,Weekend,9.5,6.6,33.0,17.6,16.5,14.0
2021-01-10,5.8,88,1,0,1,Weekend,16.2,3.2,33.2,13.3,12.9,13.3
2021-01-11,2.2,84,0,1,0,None,19.4,11.8,57.2,24.0,18.9,25.3
2021-01-12,2.5,85,0,0,0,None,14.8,9.9,39.3,18.8,13.8,19.1
2021-01-13,1.6,71,1,0,0,None,31.8,6.4,56.5,20.0,25.1,24.4
2021-01-14,6.6,73,0,1,0,None,14.1,9.9,37.1,19.9,13.7,18.2
2021-01-15,7.0,75,1,0,0,None,23.9,4.8,39.6,15.4,19.6,19.3
2021-01-16,4.1,86,1,0,1,Weekend,17.0,3.4,30.4,14.1,13.3,13.0
2021-01-17,2.5,82,0,1,1,Weekend,10.4,6.9,33.2,18.0,15.9,13.0
2021-01-18,2.0,77,0,0,0,None,19.0,12.7,55.7,24.3,19.3,24.3
2021-01-19,4.6,76,1,0,0,None,23.7,4.7,38.4,14.9,18.4,18.3
2021-01-20,0.2,90,1,0,0,None,30.3,6.3,52.8,19.5,24.1,25.8
2021-01-21,4.5,88,0,0,0,None,14.9,9.1,39.3,19.8,14.5,18.3
2021-01-22,2.1,85,1,0,0,None,24.2,5.0,38.9,15.8,19.0,19.7
2021-01-23,4.4,71,0,0,1,Weekend,10.5,6.8,31.8,17.4,16.0,12.6
2021-01-24,2.0,90,0,1,1,Weekend,10.0,6.9,33.1,17.1,16.5,13.2
2021-01-25,0.1,83,0,0,0,None,18.2,11.8,53.1,23.8,19.5,24.4
2021-01-26,0.9,79,0,0,0,None,13.7,9.2,37.6,18.6,15.0,18.7
2021-01-27,0.5,73,1,0,0,None,29.6,6.1,53.1,20.5,24.5,25.4
2021-01-28,1.1,83,0,0,0,None,15.0,9.0,39.0,19.2,14.8,18.6
2021-01-29,1.2,95,1,0,0,None,22.6,4.9,39.8,14.9,18.9,18.6
2021-01-30,6.2,83,1,0,1,Weekend,17.3,3.3,32.3,14.3,13.9,12.9
2021-01-31,1.6,88,0,1,1,Weekend,10.4,6.3,33.2,18.1,15.9,12.8
2021-02-01,2.1,78,0,1,0,None,18.9,12.2,52.0,26.0,18.3,24.2
2021-02-02,5.3,94,1,0,0,None,23.1,4.7,39.8,14.6,18.1,20.0
2021-02-03,1.1,76,0,0,0,None,18.8,12.2,54.5,24.1,18.4,23.8
2021-02-04,3.9,85,1,0,0,None,24.4,5.0,38.9,14.6,18.9,19.9
2021-02-05,4.0,90,0,0,0,None,14.7,9.8,38.2,18.7,14.2,18.1
2021-02-06,0.9,73,0,1,1,Weekend,9.8,6.8,32.8,16.9,16.6,13.8
2021-02-07,4.4,92,1,0,1,Weekend,15.8,3.5,31.6,14.3,13.2,12.9
2021-02-08,1.3,78,1,0,0,None,30.8,6.3,54.8,20.7,24.3,24.4
2021-02-09,4.2,92,0,1,0,None,14.1,9.7,37.9,19.6,14.1,19.3
2021-02-10,1.7,79,0,0,0,None,18.8,13.0,51.9,25.1,18.1,24.3
2021-02-11,2.3,76,0,1,0,None,13.6,9.7,39.0,18.5,13.8,19.6
2021-02-12,1.7,85,1,0,0,None,22.9,4.6,36.2,15.7,19.0,18.3
2021-02-13,5.6,85,0,1,1,Weekend,10.3,6.6,32.4,17.2,16.5,12.8
2021-02-14,1.6,73,0,0,1,Weekend,9.5,6.9,30.8,18.1,16.8,13.4
2021-02-15,4.6,78,0,0,0,None,18.0,12.3,52.3,23.6,19.4,23.9
2021-02-16,5.9,77,0,0,0,None,14.1,9.6,37.5,18.1,14.8,18.4
2021-02-17,3.1,77,1,0,0,None,30.1,6.4,53.4,18.8,24.8,24.4
2021-02-18,6.5,89,0,1,0,None,13.7,9.6,36.3,18.3,14.8,19.9
2021-02-19,0.8,91,1,0,0,None,23.4,4.9,37.9,15.1,19.2,19.3
2021-02-20,4.5,76,0,0,1,Weekend,9.7,6.4,30.6,18.0,17.0,12.6
2021-02-21,6.9,88,0,0,1,Weekend,9.6,6.6,33.1,16.6,17.4,12.9
2021-02-22,6.3,78,1,0,0,None,30.9,6.5,53.2,19.8,24.5,23.7
2021-02-23,4.5,78,1,0,0,None,23.1,4.9,38.8,15.4,19.5,18.6
2021-02-24,2.8,87,0,0,0,None,19.0,12.9,52.6,24.9,17.6,23.6
2021-02-25,2.6,94,1,0,0,None,24.5,4.9,39.9,14.5,19.1,19.1
2021-02-26,2.0,89,1,0,0,None,22.7,4.8,36.1,15.7,18.2,18.2
2021-02-27,2.4,79,0,0,1,Weekend,9.9,6.3,33.0,17.0,16.3,13.1
2021-02-28,0.6,89,0,1,1,Weekend,9.8,6.6,30.7,16.7,15.8,13.1
2021-03-01,9.4,79,0,0,0,None,17.9,12.0,56.9,24.1,19.2,25.4
2021-03-02,13.7,83,0,0,0,None,14.2,9.2,37.8,18.1,14.3,12.2
2021-03-03,15.0,82,1,0,0,None,30.1,11.8,53.7,19.5,24.0,15.5
2021-03-04,10.5,70,0,1,0,None,14.0,9.6,36.4,18.9,13.7,12.5
2021-03-05,13.2,70,0,1,0,None,14.3,9.7,38.9,19.1,14.7,12.1
2021-03-06,14.6,85,0,0,1,Weekend,10.1,6.4,31.3,17.7,16.0,8.6
2021-03-07,7.4,78,1,0,1,Weekend,17.5,3.3,30.3,14.2,12.8,13.9
2021-03-08,14.5,74,0,1,0,None,18.7,11.9,54.9,25.6,17.6,15.6
2021-03-09,15.0,69,0,1,0,None,14.3,9.1,36.3,18.5,13.8,11.3
2021-03-10,11.0,79,0,1,0,None,18.7,11.7,54.8,24.4,19.5,15.7
2021-03-11,7.1,72,0,1,0,None,14.2,9.1,37.8,18.2,13.7,18.6
2021-03-12,7.7,62,0,1,0,None,14.6,9.7,38.2,19.5,13.9,18.7
2021-03-13,14.4,65,1,0,1,Weekend,16.2,6.9,30.4,13.2,13.6,8.4
2021-03-14,12.6,75,0,1,1,Weekend,10.1,6.4,32.5,17.8,16.6,8.1
2021-03-15,12.6,79,1,0,0,None,32.4,12.9,56.2,20.6,24.9,14.9
2021-03-16,12.4,65,0,0,0,None,13.9,9.5,37.6,18.7,14.1,11.7
2021-03-17,11.2,63,1,0,0,None,32.2,11.7,55.1,19.3,25.1,15.3
2021-03-18,12.4,71,0,0,0,None,14.5,9.2,39.5,18.3,14.6,12.0
2021-03-19,11.4,82,0,1,0,None,14.4,9.7,38.4,19.1,14.1,12.0
2021-03-20,7.2,76,1,0,1,Weekend,16.0,3.4,32.9,13.1,13.4,13.1
2021-03-21,11.3,84,0,1,1,Weekend,9.8,6.6,32.7,17.9,16.2,8.7
2021-03-22,9.4,83,1,0,0,None,30.1,6.1,52.9,20.4,25.8,23.4
2021-03-23,13.7,68,0,0,0,None,14.8,9.5,38.7,18.5,14.2,11.8
2021-03-24,10.0,76,1,0,0,None,32.4,12.1,54.0,19.9,25.4,15.4
2021-03-25,7.2,64,1,0,0,None,24.6,4.8,37.2,15.5,18.4,19.0
2021-03-26,11.7,62,1,0,0,None,23.7,9.8,39.7,15.3,18.3,11.6
2021-03-27,7.1,61,0,0,1,Weekend,10.2,6.9,33.1,16.4,16.5,13.2
