Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2021-01-01,2.2,91,0,1,1,New Year's Day,10.4,6.5,31.5,13.6,9.8,13.1
2021-01-02,4.4,78,0,1,1,Weekend,10.2,6.3,31.4,16.5,16.0,13.6
2021-01-03,6.0,95,1,0,1,Weekend,15.8,3.3,32.2,13.5,13.7,13.1
2021-01-04,0.8,86,0,0,0,None,18.6,12.6,55.4,25.9,18.9,24.3
2021-01-05,6.8,83,1,0,0,None,23.3,4.7,38.7,14.7,18.8,19.9
2021-01-06,5.0,89,0,0,0,None,18.2,13.0,57.1,24.2,19.5,25.0
2021-01-07,4.6,75,1,0,0,None,24.1,4.8,37.4,15.3,19.5,18.2
2021-01-08,1.0,77,0,0,0,None,14.1,9.3,36.2,19.2,14.1,18.5
2021-01-09,2.9,87,0,1,1,Weekend,9.7,6.7,31.9,16.9,15.9,13.6
2021-01-10,0.8,77,0,0,1,Weekend,9.7,6.7,32.4,18.2,16.3,13.7
2021-01-11,1.7,86,1,0,0,None,32.3,5.9,52.1,20.6,25.8,25.9
2021-01-12,3.2,80,0,0,0,None,14.3,9.2,37.4,18.3,14.4,19.8
2021-01-13,0.5,70,0,1,0,None,17.9,11.9,52.4,25.5,19.2,25.6
2021-01-14,3.6,74,1,0,0,None,23.9,4.5,39.9,15.5,19.6,19.9
2021-01-15,0.2,73,1,0,0,None,24.5,5.0,36.8,15.8,18.0,18.9
2021-01-16,6.4,71,0,1,1,Weekend,9.5,6.5,30.4,18.1,17.3,13.0
2021-01-17,0.9,93,0,0,1,Weekend,10.4,6.6,32.5,17.6,17.1,13.8
2021-01-18,3.4,84,0,1,0,None,17.8,12.3,54.3,24.9,18.7,25.0
2021-01-19,3.1,89,1,0,0,None,23.9,4.5,38.1,14.7,19.4,18.1
2021-01-20,4.4,72,1,0,0,None,29.8,6.3,55.1,18.8,25.1,24.1
2021-01-21,2.2,85,0,0,0,None,14.7,9.1,39.0,19.7,14.4,19.4
2021-01-22,0.7,75,1,0,0,None,24.8,4.6,37.2,14.7,18.2,19.4
2021-01-23,5.7,94,0,1,1,Weekend,10.0,6.8,31.5,16.7,17.3,13.4
2021-01-24,5.5,87,0,0,1,Weekend,10.3,6.6,31.0,17.2,16.0,12.8
2021-01-25,4.0,75,0,1,0,None,18.1,12.5,57.0,23.5,18.5,24.6
2021-01-26,3.5,74,0,1,0,None,13.6,9.6,39.1,18.7,14.1,19.8
2021-01-27,6.6,87,0,0,0,None,19.0,12.5,52.6,23.8,18.9,25.9
2021-01-28,5.0,91,0,0,0,None,14.0,9.5,36.1,18.9,14.5,19.5
2021-01-29,6.3,93,1,0,0,None,22.8,4.6,38.4,14.7,19.9,19.9
2021-01-30,3.5,79,0,0,1,Weekend,10.3,6.6,31.4,17.2,16.2,13.8
2021-01-31,3.9,75,1,0,1,Weekend,17.0,3.2,32.0,13.7,13.0,12.8
2021-02-01,1.9,73,1,0,0,None,30.3,6.4,52.0,20.5,23.8,24.9
2021-02-02,3.2,77,1,0,0,None,24.1,4.7,37.3,15.9,19.8,19.1
2021-02-03,7.0,83,0,1,0,None,17.9,12.7,55.6,23.5,19.2,23.5
2021-02-04,1.9,92,0,0,0,None,14.6,9.4,39.3,19.3,14.9,18.7
2021-02-05,4.6,90,1,0,0,None,22.6,4.6,38.7,14.7,19.3,19.5
2021-02-06,6.8,74,0,0,1,Weekend,10.2,6.6,31.2,18.1,17.1,14.0
2021-02-07,2.3,88,1,0,1,Weekend,16.0,3.3,31.5,13.6,14.0,13.9
2021-02-08,6.9,94,1,0,0,None,30.2,6.2,56.9,20.0,25.2,23.7
2021-02-09,5.1,91,1,0,0,None,24.9,4.8,37.7,15.2,18.8,19.7
2021-02-10,3.1,83,0,1,0,None,18.5,12.4,54.9,25.3,18.3,24.5
2021-02-11,0.5,90,0,0,0,None,14.3,9.4,36.0,19.6,14.3,18.1
2021-02-12,3.3,85,1,0,0,None,24.7,5.0,36.2,14.8,18.1,19.6
2021-02-13,3.1,70,0,1,1,Weekend,9.7,7.0,33.5,17.3,16.0,13.6
2021-02-14,1.2,76,0,0,1,Weekend,9.5,6.8,31.2,17.0,17.3,13.9
2021-02-15,5.7,73,1,0,0,None,31.1,5.9,56.7,19.7,23.6,25.1
2021-02-16,6.5,85,0,0,0,None,13.9,9.5,38.8,18.9,14.5,18.1
2021-02-17,1.1,78,1,0,0,None,31.9,6.3,52.1,19.2,24.1,25.6
2021-02-18,3.4,72,0,1,0,None,15.0,9.8,36.9,18.4,13.6,18.1
2021-02-19,6.6,71,0,0,0,None,14.1,9.4,36.9,19.4,14.2,18.0
2021-02-20,6.6,84,0,1,1,Weekend,10.1,6.9,31.2,17.8,17.0,13.5
2021-02-21,4.1,91,0,0,1,Weekend,9.7,6.4,33.0,17.9,16.8,13.6
2021-02-22,3.7,82,1,0,0,None,30.2,6.0,54.1,20.5,23.7,24.1
2021-02-23,5.0,92,1,0,0,None,22.8,4.7,36.3,15.4,19.9,19.4
2021-02-24,4.6,78,1,0,0,None,29.4,6.4,56.5,19.6,23.7,24.6
2021-02-25,2.3,71,0,0,0,None,14.4,9.1,37.2,18.4,13.5,19.2
2021-02-26,3.8,83,1,0,0,None,23.7,4.8,39.2,15.4,18.5,19.3
2021-02-27,2.6,78,1,0,1,Weekend,16.6,3.3,32.5,13.6,13.2,13.8
2021-02-28,5.5,92,1,0,1,Weekend,16.0,3.5,33.0,13.6,13.5,12.9
2021-03-01,14.3,64,0,1,0,None,19.5,12.7,54.4,23.5,19.3,15.0
2021-03-02,13.7,74,0,0,0,None,13.6,9.9,39.7,18.9,14.8,11.9
2021-03-03,13.9,67,1,0,0,None,29.8,12.7,57.2,20.0,25.4,15.5
2021-03-04,7.5,63,0,1,0,None,13.9,9.3,37.0,18.4,14.4,18.8
2021-03-05,14.8,71,0,1,0,None,15.0,9.8,38.5,19.8,14.6,12.0
2021-03-06,11.5,76,1,0,1,Weekend,17.0,6.4,32.8,13.5,13.5,8.1
2021-03-07,13.3,75,0,0,1,Weekend,10.1,6.9,31.7,17.7,16.7,8.0
2021-03-08,11.9,80,0,1,0,None,19.4,11.9,56.3,24.6,19.0,15.8
2021-03-09,14.3,81,1,0,0,None,25.0,9.7,36.4,14.9,19.8,11.5
2021-03-10,8.4,85,1,0,0,None,30.4,6.0,56.9,20.5,25.6,23.6
2021-03-11,8.5,80,1,0,0,None,24.4,4.6,36.3,15.4,19.7,18.9
2021-03-12,13.8,80,1,0,0,None,23.8,9.3,36.5,16.0,19.2,11.9
2021-03-13,14.1,76,0,0,1,Weekend,9.8,6.4,32.8,17.9,16.4,8.2
2021-03-14,12.8,67,0,1,1,Weekend,10.2,6.8,30.3,18.2,16.4,7.9
2021-03-15,8.7,77,1,0,0,None,30.2,6.4,53.8,20.8,23.8,25.8
2021-03-16,9.9,66,1,0,0,None,22.6,4.9,38.4,15.0,19.6,19.0
2021-03-17,10.2,79,1,0,0,None,31.2,12.7,52.4,19.8,24.3,14.7
2021-03-18,9.9,66,1,0,0,None,23.6,4.9,36.8,15.0,18.4,18.1
2021-03-19,10.2,82,0,1,0,None,13.7,9.6,37.6,18.1,14.9,12.2
2021-03-20,14.3,79,0,0,1,Weekend,10.1,6.4,31.9,17.3,17.0,8.7
2021-03-21,10.9,63,1,0,1,Weekend,17.2,6.8,33.5,13.9,13.8,8.1
2021-03-22,7.7,63,0,0,0,None,18.5,12.4,56.6,23.4,19.2,25.2
2021-03-23,9.6,82,1,0,0,None,22.8,4.8,39.0,14.9,18.2,19.7
2021-03-24,7.0,81,0,0,0,None,17.8,11.8,52.4,24.7,18.6,25.3
2021-03-25,10.5,84,1,0,0,None,22.6,9.5,39.8,15.9,19.6,11.5
2021-03-26,8.0,75,1,0,0,None,23.8,4.6,38.0,15.5,19.0,19.7
2021-03-27,9.3,76,0,1,1,Weekend,9.8,6.9,30.4,16.4,16.1,13.5
2021-03-28,11.6,77,1,0,1,Weekend,16.8,6.6,33.2,14.3,12.8,8.4
2021-03-29,14.7,73,0,0,0,None,19.4,12.3,53.0,23.9,19.5,16.0
2021-03-30,13.5,83,0,0,0,None,13.9,9.0,38.3,19.1,14.1,11.6
2021-03-31,14.3,70,0,0,0,None,19.3,12.4,57.0,25.3,17.9,16.2
2021-04-01,12.1,65,1,0,0,None,24.0,9.7,39.2,14.7,18.7,12.3
2021-04-02,9.2,60,0,0,1,Good Friday,10.5,6.8,33.1,13.0,10.1,13.6
